SMILES,MolWt,LogP,QED
COc1cnc(N2CCCC3(CCC(=O)N(C4CCCC4)C3)C2)nc1,344.2212261,2.6368,0.843557106
O=C(c1ccc[nH]1)N1CCC(n2c(=O)[nH]c3ccccc3c2=O)CC1,338.1378904,1.4952,0.741629431
CCC1(CO)CCCN(Cc2ncc(C)c(OC)c2C)C1,292.2150781,2.69154,0.906104019
CCCN1CCN(C(=O)CSc2nc(-c3ccc(Cl)cc3)n[nH]2)CC1,379.123359,2.7714,0.781619241
O=C1COCC(CCCCOCc2ccccc2)N1,263.1521435,1.8885,0.764179098
COC(=O)c1cc(NC(=O)c2cc(OC)c(OC)cc2[N+](=O)[O-])cc(C(=O)OC)c1,418.1012302,2.4375,0.407121533
C=CCCCC(NC(=O)OC(C)(C)C)C(=O)O,243.1470582,2.3206,0.554207805
O=Cc1c(Br)cccc1N1CCC(F)(F)CC1,303.0070325,3.4971,0.779516066
COC(CCNC(=O)C(CCCC#N)NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,479.2056356,3.19348,0.397536773
Cc1ccc(N2CCN(N=Cc3c(C)nn(-c4ccccc4)c3Cl)CC2)cc1,393.1720234,4.29864,0.619953167
CN1CCCC1CCN1CCC(c2nncn2C)CC1,277.2266459,1.4788,0.83522266
COc1ccccc1C1=NOC(C)(C(=O)N(C)Cc2ccccn2)C1,339.1582915,2.6319,0.839936132
O=C(CC1NC2CCCCC2NC1=O)NC1CC1,251.1633769,0.0543,0.663803294
CCN1CCN(CC2CN(c3ccnc4cc(Cl)ccc34)CC2CO)CC1,388.2029892,2.5704,0.8522744
Cc1ccc(C(C)NC(=O)COc2cccc3ccccc23)cc1,319.1572289,4.40442,0.756523002
Cc1nc2ccccc2n1CC(=O)NC1CCCNC1=O,286.1429758,0.73952,0.873504046
CCOc1ccc2[nH]c(=O)c(C(c3nnnn3Cc3ccc(OC)cc3)N3CCN(C)CC3)cc2c1,489.2488379,2.307,0.402446811
CCNC(=O)C(CC)N(Cc1ccc(OC)cc1)C(=O)COc1cc(C)c(Cl)c(C)c1,446.1972352,4.28774,0.590821485
COc1cc2c(cc1OC)CC(=O)N(CCC(=O)NC1CCCc3c1[nH]c1c(Cl)cccc31)C=C2,493.1768341,4.7778,0.517438391
CC1CN(C2CCN(c3ccc(Cl)cc3Cl)C2=O)CCC1O,342.0901832,2.8014,0.898119653
CS(=O)(=O)N(CCCC(=O)NCC1CCCCC1)c1ccccc1-c1ccccc1,428.2133639,4.5963,0.634869091
O=C(NS(=O)(=O)c1ccccc1Br)c1ccccc1Oc1ccccc1,430.982691,4.3601,0.650540049
CCN(C(=O)C1=NN(c2ccccc2)C(=O)CC1)C(C)C(C)C,315.194677,3.0624,0.838281975
COc1ccc(CNC2CCN(S(C)(=O)=O)CC2C)cc1,312.1507636,1.4548,0.89400294
CNC(=O)c1ccn(C2CCCN(Cc3cc(C)on3)C2)n1,303.1695249,1.37622,0.923089664
CCOC(=O)N1CCN(C(=O)CN(c2c(C)cc(C)cc2C)S(C)(=O)=O)CC1,411.182792,1.67856,0.735686455
Cc1c(C(=O)NC(C)C2CC3CCC2C3)oc2c(Cl)cccc12,331.1339066,4.94912,0.864275622
COc1ccc(C(NS(=O)(=O)c2c(C)n[nH]c2C)C2CC(O)C2)cn1,366.1361762,1.22064,0.707567572
Cc1cccc(OCc2ccc(-c3nc(C#N)c(NCCCn4ccnc4)o3)o2)c1,403.1644395,4.3924,0.41343884
COc1ccc(C2C(C(=O)Nc3ccc(C)cc3C)C(C)Nc3ncnn32)c(OC)c1,421.2113897,3.57044,0.654606119
CNc1ccc(C=C2C(=O)Nc3cc(Cl)ccc32)cc1[N+](=O)[O-],329.0567189,3.7826,0.509581579
CS(=O)(=O)C1C(c2ccc3c(c2)OCO3)C1(CN)CN,298.0987281,-0.1705,0.799393998
CCOC(=O)C1=C(CSc2ccc(Cl)cc2)NC(=O)NC1c1ccc(Cl)cc1,436.0415188,4.9568,0.495525039
COC(=O)c1ccc(OCC(O)CNCC23CC4CC(CC(C4)C2)C3)c(OC)c1,403.2358732,3.0275,0.617450069
O=C(NCC1OCCCN1S(=O)(=O)c1ccccc1)C(=O)NC1CCCC1,395.1514919,0.5987,0.710612983
Cc1c(CC(=O)Nc2cc(F)cc(F)c2)c(=O)n2nc(-c3ccccc3)nc2n1Cc1ccccc1,485.1663314,4.37412,0.387280579
Cc1ccc(S(=O)(=O)NC(C)c2nnc3n2CCC3)cc1N(C)C,349.157246,1.63822,0.887496179
COC(=O)c1cc(OC)c(OC)cc1NC(=O)CC1CC2CCC1C2,347.1732729,3.2552,0.799729837
COC(=O)C1CCCCN1c1ccc(C=O)cn1,248.1160924,1.426,0.597869642
O=C(NCCCc1nnc2ccccn12)C1CC(O)CN1,289.1538748,-0.4991,0.645580743
CC(N)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,350.0215943,3.4823,0.887581356
O=C(O)c1ccc(CNC(=O)c2ccc(Cl)cc2Cl)cc1,323.0115986,3.6216,0.902536738
COc1ccc(NC(=O)C2CCN(C(=O)c3cccc(Cl)c3)CC2)cc1Cl,406.0850979,4.4929,0.812563793
COc1ccc2cc(C(=O)N(C)Cc3nc(O)c4ccccc4n3)n(C)c2c1,376.1535405,3.1079,0.591924119
Cc1ncccc1CN1CCC(C)S(=O)(=O)CC1,268.1245489,1.39902,0.813307153
CCC(C(=O)O)N1CCCC(c2ccccc2)CC1,261.172879,3.1193,0.904968591
CC(C)c1nccn1C(C)C(=O)NCCSc1cn[nH]n1,308.1419303,1.5941,0.598852581
CC(=O)Nc1cccc2c1ccn2CC(=O)NC(CO)C(C)C,317.1739416,1.7328,0.75855645
CC(C)NC(=O)C1CN(C(N)=O)Cc2ccnn2C1,265.1538748,-0.0818,0.782766067
Cc1cccc2c(=O)[nH]c(CSc3nnc(NCc4ccco4)s3)nc12,385.0667167,3.58042,0.489678789
CCCN1C(=O)C2(C(C(=O)c3ccc(OC)cc3)=C(O)C(=O)N2CCOC)c2ccccc21,450.1790866,2.8307,0.621608396
CC(Nc1ccc2oc(C(C)(C)C)nc2c1)C(=O)N1CCN(c2ccccc2)CC1,406.2368762,4.2745,0.700921028
C=CCNc1nc(NCc2cccc(C)c2)c2cnn(C)c2n1,308.1749446,2.88172,0.685398196
Cc1c(C(=O)N2CCCC2c2ccsc2)cnn1C,275.1092332,2.76732,0.844966053
Cc1cc(C)c(S(=O)(=O)N(CC(=O)NC2CCCCC2)Cc2ccc(Cl)cc2)c(C)c1,462.1743915,4.90506,0.635552241
COc1ccc(OC)c(C=C2SC(=O)N(CNc3ccc(Br)cc3C)C2=O)c1,462.0248902,4.88062,0.616391511
COc1ccc(-c2noc(-c3ccc(N4CCCCC4)nc3)n2)cc1,336.1586259,3.7975,0.72195929
NC(=O)c1ccc(C(=O)Oc2ccc3oc4c(c3c2)CCCC4)cc1,335.115758,3.6297,0.585105351
Cc1ccc(C(=O)CSc2nnc(-c3ccc(Cl)cc3)o2)cc1,344.0386263,4.67342,0.496820231
CCS(=O)(=O)N1CCCC2(CC(Nc3cnccn3)CO2)C1,326.1412616,0.8617,0.883352003
Cc1ccc(NC(=O)c2csnn2)cc1Cl,253.0076606,2.75222,0.895419794
CC(C)C(=O)N1CCCC2(CCCN2C(=O)CCc2ccccc2)C1,342.2307282,3.2588,0.842563491
CCc1nc(CN(C)c2cnn(-c3ccc(Cl)cc3)c(=O)c2Cl)cs1,394.0421875,4.1946,0.650070936
CCCCNC(=O)CN(Cc1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC,420.171893,2.811,0.565246475
COc1ccc(OCCN(C)c2nc(-c3cccnc3)nc3ccccc23)cc1,386.1742759,4.2156,0.474036333
CC1CCN(C(=O)CCN2CC(NS(C)(=O)=O)C(C(C)C)C2)CC1,359.2242629,1.1406,0.772077692
CCc1ocnc1C(=O)NC1c2ccccc2CCC1n1ccnc1,336.1586259,3.0921,0.794445166
Cc1ccc(C2OCC(C)(C)n3c(-c4ccc(Br)cc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,497.0950183,4.22432,0.415093389
COCCn1c2c(c(=O)[nH]c1=O)C(c1cccc(Cl)c1)C1=C(N2)c2ccccc2C1=O,435.0985837,3.0014,0.656766125
CCCOc1ccc(NC(=O)CC2C(=O)N(CC)C(=S)N2CCNC(C)=O)cc1,420.1831264,1.7577,0.560744867
COc1ccc(C=N[N+]2=C(c3ccccc3)CN=C2N)cc1,293.1396876,1.8592,0.690582181
Oc1ccccc1CN1CCc2onc(-c3ccccc3F)c2C1,324.127406,3.7446,0.797115706
Cc1csc(=O)n1CCC(=O)OCC(=O)Nc1cccc(S(N)(=O)=O)c1,399.0558773,0.43762,0.648042876
CCOc1ccccc1N(CC(=O)Nc1ccccc1CC)S(=O)(=O)c1ccc(C)cc1,452.1769784,4.79012,0.506477044
O=S1(=O)C=C(CSc2cccs2)c2cc(Cl)ccc21,327.9453202,4.322,0.786719937
CCc1nnc(Sc2ccc(N)cc2C)n1N,249.1048165,1.59612,0.63739144
CN(CC(=O)NCC(=O)N1CCCC1)C1CCCCNC1=O,310.2004907,-0.6745,0.705240284
COc1nc(C(=O)N(C)CCC(F)(F)F)cc2ccccc12,312.1085624,3.2678,0.869981254
CCOc1ccc(C(C)=O)cc1N1C(=O)C2C3C=CC(C)(O3)C2C1=O,341.1263227,2.1208,0.476438338
COC(=O)C1=C(c2ccccc2)Nc2ncnn2C1c1ccc(C#N)cc1,357.1225747,2.74898,0.724702993
CCn1ccc(-c2cc(O)n3ncc(-c4ccc(C)cc4)c3n2)n1,319.1433102,3.29372,0.628951901
Cc1ccc(-c2nc(CC(=O)N3CCN(CC(=O)NC4CC4)CC3)cs2)cc1,398.1776471,2.08382,0.809224054
COc1cc(OC)c2cc(CCCNC(=O)C(C)N3CCc4ccccc4C3)[nH]c2c1,421.2365419,3.6807,0.544748914
C=CCN1C(=O)C(C)(C)COc2ccc(NC(=O)c3ccc(OC)cc3)cc21,380.1736072,3.8851,0.799473599
O=C(Nc1ccc(Cl)cc1)C1CCN(C(=O)c2cccs2)CC1,348.0699265,3.8924,0.914282119
COc1ccc(C(=O)NCc2ccc(S(=O)(=O)N3CCCCC3)s2)cc1OC,424.1126639,2.8699,0.738790832
CCCC(OC)c1cc2ccccc2o1,204.1150298,3.9204,0.752696343
CC1CCCC(C)N1C(=O)Cn1c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,470.2100098,2.4244,0.532718484
Cc1cc(CN2C(=O)NC(C)(c3ccc(OC(F)F)cc3)C2=O)no1,351.1030624,2.55162,0.837095246
COCCOCc1cccc(NC(=O)N2CCCC2c2ccncc2)c1,355.1895917,3.6136,0.770770438
CSc1nnc(NC(=O)Cc2csc(-c3ccccc3)n2)s1,348.017324,3.5647,0.563869884
O=C(CCNC(=O)c1ccco1)Nc1ccc(-c2cc3ccccc3o2)cc1,374.1266571,4.4514,0.522092246
CSCC(C)C(=O)NC1CCN(c2cccc(C)n2)CC1,307.1718334,2.47412,0.907533964
COc1ccc(N2CC(C(=O)Nc3ccccc3C(=O)NCc3ccc(F)cc3)CC2=O)cc1,461.1750845,3.7559,0.561030711
CC1CC1c1ccc(CN(C)S(=O)(=O)N(C)C(C)C)o1,300.1507636,2.4198,0.81048385
CN(N=Cc1ccc(Cl)cc1)C1=NS(=O)(=O)c2cc([N+](=O)[O-])ccc21,378.0189535,2.663,0.463463322
Cc1ccc(C)c(C(=O)Nc2nnc(NS(C)(=O)=O)s2)c1,326.0507323,1.77874,0.891586875
COc1ccc(C2CC(c3ccccc3Cl)=NN2C(=O)CN(C)C(=O)C2CCCC2)cc1,453.1819194,4.6749,0.637807253
COc1ccc(CNCCCn2ccnc2C)cc1OCC(O)CN(C)C(C)C,404.278741,2.45992,0.499908092
COCCC(NC(=O)C1(C)CCCC1NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,480.2260367,3.6898,0.504468065
CCOCc1ccc(CC(=O)N2CC3CC(C)OC3C2)cc1,303.1834437,2.4014,0.838246251
COc1cccc(-c2cc(-c3cccnc3)nn2CCNC(=O)C(C)N2CCOCC2)c1,435.2270398,2.4576,0.585462757
CC(c1nc(N)nc(N(C)C)n1)N(C)CCOc1ccc(F)cc1,334.1917376,1.7307,0.825662957
CCOC(=O)CCN(c1ccccc1)S(=O)(=O)c1ccc2[nH]c(=O)ccc2c1,400.1092927,2.6766,0.615258232
CC(=O)N1CCc2cc(NC(C)c3nc(C(C)(C)C)no3)ccc21,328.189926,3.4492,0.934155344
CNC(=O)c1cccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)c1,313.1426415,2.44604,0.757153835
Cc1ccc(-n2c(=S)[nH]c3sc4c(c3c2=O)CC(C(C)C)OC4)cc1,372.0966199,4.51551,0.67314275
Cc1cccc(Nc2cc(C3CCCN3S(C)(=O)=O)ccn2)n1,332.1306969,2.62512,0.931329171
O=C(CNC(=O)C1CCCCC1)NCc1nnc2ccccn12,315.1695249,1.042,0.862743536
NC1CCCCC1OCc1cc(F)ccc1F,241.1278206,2.7513,0.882727427
CC(C)S(=O)(=O)c1ccc(CC(=O)N2CCC(Oc3cnccn3)C2)cc1,389.1409272,1.8811,0.749392431
CC1(C)C2CCC1(C(=O)Nc1cc(C(F)(F)F)ccc1Cl)C(=O)C2,359.0899911,4.6927,0.778333679
CCOc1ccc(C(C)NC2CCc3nc(C)cn3C2)cc1[N+](=O)[O-],344.1848406,3.16402,0.642792729
C=C(C)CN(CC)C(=O)Nc1ccc(C)cn1,233.1528122,2.81992,0.812676562
CCC1c2ccsc2CCN1CC(=O)N1CCNC(=O)C1,307.1354479,1.0157,0.906824393
c1ccc(CN2CC3CCCC(C2)NC3)cc1,230.1782987,2.2605,0.838138641
O=C(Nc1nccs1)c1ccc(C2SCCS2)cc1,308.011176,3.874,0.934272948
O=C(NCc1cccnc1-n1cccn1)c1ccc(Br)s1,361.9836941,3.0213,0.77530577
COc1cc(CN2CCN=C(O)C2CC(O)=NCCc2ncccc2C)cc(OC)c1,426.2267054,3.13722,0.472046334
Nc1ncc2c(n1)-c1ccccc1OC2N1CCCC1,268.1324111,2.2126,0.858722011
c1cnc(N2CCCC3(CCN(CC4CC4)C3)C2)nc1,272.2000968,2.1789,0.844008846
Cc1cc2c(cc1C)C1(CCO2)CC1C(=O)N(C)CCCn1ccnc1,353.2103271,3.08884,0.829829752
COc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1ccc2c(c1)OCCO2,418.0987281,4.9954,0.505326545
Cc1ccc(-c2nc3cc(NC(=S)NC(=O)C(C)C)ccc3o2)cc1,353.1197978,4.27222,0.68834677
O=C1C(=CNc2ccc(F)cc2F)S(=O)(=O)N(Cc2cccc(F)c2)c2ccsc21,450.0319689,4.6516,0.587888905
COc1ccc(-n2c(=O)c3sccc3n(Cc3nc(-c4ccc(F)c(Cl)c4)no3)c2=O)cc1,484.0408318,4.1133,0.37252221
Cn1c(=O)c(C=c2sc3nc4ccccc4n3c2=O)cc2ccccc21,359.0728477,2.3088,0.461493645
CCc1noc(C)c1C(=O)OCc1nc2c(C)cccc2c(=O)[nH]1,327.121906,2.44734,0.739118019
COc1ccc(N2C(=O)C3ON(c4cccc([N+](=O)[O-])c4)C(c4ccc(N(C)C)cc4)C3C2=O)cc1,488.1695845,3.7205,0.293719517
Cc1ccc(S(=O)(=O)N2CCCC2NC(=O)NCCC(=O)O)cc1,355.1201918,0.87952,0.700426325
COc1ccc(CCC(=O)Nc2cc(C)nn2-c2ncnc3c2cnn3-c2ccc(F)cc2)cc1,471.1819012,4.02862,0.384799318
Cc1cc(C(=O)N2CCN(c3ncccn3)CC2)no1,273.1225747,0.73542,0.802854942
CSc1ncc(Cl)c(C(=O)NCC(C)Cn2nc(C)cc2C)n1,353.1077089,2.73134,0.638191158
CCCC(O)(CCC)CC(=O)N1CCN(c2ccc(F)cc2)CC1,336.2213064,3.1957,0.831483927
O=C(Cc1ccccc1)Nc1nnc(-c2ccc(Br)cc2)o1,357.0112887,3.6803,0.772632738
Cc1ccc(CCC(=O)NCC2CCCO2)cc1C,261.172879,2.53124,0.884236102
O=C(NC1CCN(c2ccc(F)cc2)CC1)c1cc(CO)ccn1,329.1539551,2.1118,0.901626243
CCC(C)C(NC(=O)C(F)=C(C)C)C(=O)O,231.1270717,1.8653,0.709651207
CC(C)(C)C(=O)N1CCCC1c1ccco1,221.1415788,2.9892,0.730085029
COc1ccc(C(=O)COC(=O)CCC(=O)Nc2cc(C(F)(F)F)ccc2Cl)cc1,443.074735,4.5122,0.479201163
Cc1ccnn1CCC(=O)N1CCCC1c1nc(N(C)C)ncc1-c1cccc(F)c1,422.2230377,3.60742,0.607170545
COc1cc(F)cc(NC(=O)NCC(C)c2nc(C)cs2)c1,323.110376,3.52442,0.884652418
CCOC(=O)Cc1ccc(NC(=O)C2CCCN(Cc3ccc(Cl)cc3)C2)cc1,414.1710204,4.2963,0.686169643
Cc1cc(C(C)Nc2c(C#N)c(=O)n(C)c(=O)n2C)c(C)s1,318.1150468,1.80712,0.935707444
CC(CCc1ccc(O)cc1)NC(=O)NC1CCS(=O)(=O)C1,326.1300282,1.1996,0.75744644
CCc1nc(CN(C)Cc2cc(-c3ccccc3)on2)no1,298.1429758,2.919,0.696712366
CC(N)C(=O)N1CC(O)C(n2ccnc2)C1,224.1273258,-1.0255,0.672773492
O=C(CNC(=O)c1cccc(-n2nccc2-c2ccccc2)c1)Nc1ccc(F)c(F)c1,432.1397823,4.186,0.479888617
COc1ccc(S(=O)(=O)N(C)C)cc1CCC(=O)NC1CC(C)(C)Oc2ccccc21,446.1875431,3.2967,0.705471634
COc1ccccc1NC(=O)Cc1noc(COc2cccc([N+](=O)[O-])c2)n1,384.1069842,2.7466,0.463400258
CCC(c1ccccc1)N1CCN(CC(=O)N2CCCC2)CC1,315.2310625,2.3777,0.834548855
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC(=O)NC(CS)C(=O)O)CCC12,491.2341589,3.7095,0.369984791
Cc1ccc(OCC(=O)NCCNC(=O)c2nc(-c3ccc4c(c3)OCO4)no2)c(C)c1,438.1539344,2.00714,0.511913239
COc1ccc(N2CCN(C(c3ccc(OC)c(OC)c3)c3nnnn3CC3CCCO3)CC2)cc1,494.2641536,2.7895,0.445606663
Cc1ncsc1C(=O)N1CCC(COc2cccc(Cl)c2)(CC(N)=O)CC1,407.1070402,3.28172,0.795655898
CCOC(=O)CNc1ncc(-c2cc(-c3ccc[nH]3)nc(N)c2C#N)cn1,363.1443728,1.96258,0.564035327
CCC(CC)(CN)CNc1ccnn1C1CNC1,251.2109958,1.2044,0.681076186
O=C(C1CCCN(S(=O)(=O)c2cccs2)C1)N1CCCC(c2nc3ccccc3s2)C1,475.1058047,4.1647,0.568009276
CC(C)(CNC(=O)C1CCn2cncc2C1)C1CCCCC1,303.2310625,3.1682,0.928432515
CCOc1cc(CNCCCSc2nnnn2-c2ccccc2)ccc1OCC(=O)NC(C)(C)C,498.2413099,3.6265,0.272066224
O=C1CC(c2ccncc2)C2(CCN(C(=O)C3CCOC3)CC2)N1,329.1739416,1.0828,0.88134616
COc1cc(OC)cc(C(NS(=O)(=O)N2CC(C)OC(C)C2)c2nccn2C)c1,424.178041,1.4703,0.723349484
CC1(CCNC(=O)NC2CCc3cc(Cl)ccc32)OCCO1,324.1240702,2.7796,0.895019849
CC1CC1C(=O)NCC1CCCc2ccccc21,243.1623143,2.8787,0.868659797
Cc1ccc2ncnc(OCCOc3ccc(C#N)cc3)c2c1,305.1164267,3.2677,0.676698215
CS(=O)(=O)c1cccc(S(=O)(=O)N2CCCC2)c1,289.04425,0.8746,0.827680574
Cc1onc(-c2ccccc2Cl)c1C(=O)NC(C)C1CCCO1,334.1084201,3.60072,0.927425996
O=C(CN1C(=O)C2CCCCC2C1=O)Nc1ccc2c(c1)CCC2,326.1630426,2.289,0.866776534
COCCCNC(=S)Nc1nc(Oc2ccccc2)cc(Oc2ccccc2)n1,410.1412616,4.3841,0.3974216
CCc1nccn1C1CCCN(C(=O)NC2CC2CC)C1,290.2106615,2.5905,0.926341365
COc1ccc(Cl)cc1-n1c(=S)[nH]c2ccccc2c1=O,318.0229763,3.71029,0.732680994
O=C(Nc1ccc(-n2cncn2)cc1C(F)(F)F)N(CC1CCCO1)CC1CCCO1,439.1831243,3.478,0.745501049
CC(OC(=O)c1ccc(=O)n(Cc2ccccc2)n1)C(=O)Nc1cccc(Cl)c1,411.0985837,3.129,0.62916754
CCC(C)Nc1ccc(C2CCCCN2C(=O)OC(C)(C)C)cn1,333.2416272,4.7541,0.863327864
CCc1cccc(C)c1NC(=O)c1ccc(C)cc1I,379.0433122,4.72274,0.768513914
Cc1ccc(NC(=O)COC(=O)c2ccc3c(c2)C(=O)N(Cc2ccccc2)C3=O)cc1F,446.1277999,3.72582,0.460211097
Cc1ncc(-c2ccc(S(=O)(=O)Nc3ccccc3)cc2)o1,314.0725133,3.45082,0.800286214
COc1cc2c(cc1NC(=O)CN1C(=O)NC(Cc3ccccc3)C1=O)oc1ccccc12,443.1481208,3.6962,0.442784845
O=C(CCc1nc(-c2ccccc2F)no1)N1CCN(c2ccc(Cl)cc2)CC1,414.1258818,3.8105,0.634905537
O=C(O)c1ccc2c(c1)Oc1ccccc1O2,228.0422587,3.2828,0.693918311
Cc1cccc(N2C(=O)CC(N3CCN(c4ncccn4)CC3)C2=O)c1,351.1695249,1.23912,0.775196173
CCNS(=O)(=NC(C)CC)c1ccc(N)cc1,255.1405333,2.4187,0.79339267
O=C(O)CC(O)CNC(=O)c1cccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c1,460.1634365,3.613,0.407021241
CCN1CCCC1C1CCCN1C(=O)c1ccc(=O)n(CCOC)c1,347.2208918,1.5836,0.784060323
O=C(NC(CC(F)(F)F)C(=O)NCC(O)C(=O)O)OCC1c2ccccc2-c2ccccc21,466.1351711,2.4078,0.473694675
NC(=O)NC(c1ccccc1)c1ccccc1Cl,260.0716407,3.0977,0.875416582
Cc1ccccc1CC(=O)N1CCN(Cc2nc3ccccc3s2)CC1,365.1561834,3.49162,0.710066922
COc1cccc(NC(=O)CN(C)C2CC(=O)N(C)C2=O)c1,305.1375561,0.3228,0.792820907
O=C(Nc1cccc(Cl)c1)C1CC1c1ccc2c(c1)OCCO2,329.0818711,3.8534,0.929965549
CC(C)C(NC(=O)C(C)N(c1cccc(C(F)(F)F)c1)S(C)(=O)=O)C(C)C,408.1694484,3.6567,0.748859943
Cc1ccc(NC(=O)c2ccc(CNC(=O)OC(C)(C)C)cc2)c(Cl)c1,374.1397203,4.92542,0.797171104
COC(=O)C(Cc1ccc(O)cc1)NC(=O)Cc1ccccc1,313.1314081,1.8352,0.797952901
O=Cc1cc([N+](=O)[O-])ccc1Oc1ccc(Cl)cc1,277.0141854,3.853,0.483337606
CN1C(=O)C2(c3ccccc31)c1c(oc3ccccc3c1=O)C(=O)N2CCN1CCOCC1,445.1637708,1.801,0.611556767
COC(=O)c1cc(NC(=O)C(c2ccccc2)N(C)S(C)(=O)=O)cc(C(=O)OC)c1,434.114772,1.831,0.660431245
Cc1nnsc1C(=O)N(Cc1ccco1)Cc1nn(C)c2c1CCC2,357.1259458,2.50432,0.7010802
COc1cc(C(C)=O)ccc1OCC(=O)NCCN1C(=O)SC(=Cc2ccccc2Cl)C1=O,488.0808851,3.7827,0.422961386
CC(=O)NCC(=O)N1CCCC2(CCCN2c2ncnc3ccsc23)CC1,387.172896,2.1789,0.87334939
O=C(C=Cc1cccs1)Nc1sc2c(c1C(=O)O)CCCCC2,347.0649854,4.4286,0.635034068
COc1cccc(-c2cc(C(=O)O)c3cc(C)ccc3n2)c1,293.1051933,3.91702,0.794863262
